Date,New Cases,New Deaths,New Recovered,New Tests,Total Cases,Total Deaths,Total Recovered,Total Active,Total Tests,Death/Cases (%),Death/Recovered,Cases/Tests(%),Cases/1M Pop.,Deaths/1M Pop.
2020-03-08,3,0,0,120,3,0,0,3,120,0.0000,0.0000,2.5000,0.0167,0.0000
2020-03-09,0,0,0,7,3,0,0,3,127,0.0000,0.0000,2.3622,0.0167,0.0000
2020-03-10,0,0,0,10,3,0,0,3,137,0.0000,0.0000,2.1898,0.0167,0.0000
2020-03-11,0,0,0,10,3,0,0,3,147,0.0000,0.0000,2.0408,0.0167,0.0000
2020-03-12,0,0,0,16,3,0,0,3,163,0.0000,0.0000,1.8405,0.0167,0.0000
2020-03-13,0,0,0,24,3,0,0,3,187,0.0000,0.0000,1.6043,0.0167,0.0000
2020-03-14,0,0,0,24,3,0,0,3,211,0.0000,0.0000,1.4218,0.0167,0.0000
2020-03-15,2,0,0,30,5,0,0,5,241,0.0000,0.0000,2.0747,0.0278,0.0000
2020-03-16,3,0,0,27,8,0,0,8,268,0.0000,0.0000,2.9851,0.0444,0.0000
2020-03-17,2,0,0,49,10,0,0,10,317,0.0000,0.0000,3.1546,0.0556,0.0000
2020-03-18,4,1,3,49,14,1,3,10,366,7.1429,0.3333,3.8251,0.0778,0.0056
2020-03-19,3,0,0,46,17,1,3,13,412,5.8824,0.3333,4.1262,0.0944,0.0056
2020-03-20,3,0,0,36,20,1,3,16,448,5.0000,0.3333,4.4643,0.1111,0.0056
2020-03-21,4,0,0,36,24,1,3,20,484,4.1667,0.3333,4.9587,0.1333,0.0056
2020-03-22,4,1,0,65,28,2,3,23,549,7.1429,0.6667,5.1002,0.1556,0.0111
2020-03-23,5,0,0,56,33,2,3,28,605,6.0606,0.6667,5.4545,0.1833,0.0111
2020-03-24,6,1,2,92,39,3,5,31,697,7.6923,0.6000,5.5954,0.2167,0.0167
2020-03-25,0,2,2,82,39,5,7,27,779,12.8205,0.7143,5.0064,0.2167,0.0278
2020-03-26,5,0,4,126,44,5,11,28,905,11.3636,0.4545,4.8619,0.2444,0.0278
2020-03-27,4,0,0,106,48,5,11,32,1011,10.4167,0.4545,4.7478,0.2667,0.0278
2020-03-28,0,0,4,47,48,5,15,28,1058,10.4167,0.3333,4.5369,0.2667,0.0278
2020-03-29,0,0,0,109,48,5,15,28,1167,10.4167,0.3333,4.1131,0.2667,0.0278
2020-03-30,1,0,4,153,49,5,19,25,1320,10.2041,0.2632,3.7121,0.2722,0.0278
2020-03-31,2,0,6,140,51,5,25,21,1460,9.8039,0.2000,3.4932,0.2833,0.0278
2020-04-01,3,1,1,157,54,6,26,22,1617,11.1111,0.2308,3.3395,0.3000,0.0333
2020-04-02,2,0,0,141,56,6,26,24,1758,10.7143,0.2308,3.1854,0.3111,0.0333
2020-04-03,5,0,0,203,61,6,26,29,1961,9.8361,0.2308,3.1107,0.3389,0.0333
2020-04-04,9,2,4,434,70,8,30,32,2395,11.4286,0.2667,2.9228,0.3889,0.0444
2020-04-05,18,1,0,367,88,9,30,49,2762,10.2273,0.3000,3.1861,0.4889,0.0500
2020-04-06,35,3,3,468,123,12,33,78,3230,9.7561,0.3636,3.8080,0.6833,0.0667
2020-04-07,41,5,0,679,164,17,33,114,3909,10.3659,0.5152,4.1954,0.9111,0.0944
2020-04-08,54,3,0,981,218,20,33,165,4890,9.1743,0.6061,4.4581,1.2111,0.1111
2020-04-09,112,1,0,905,330,21,33,276,5795,6.3636,0.6364,5.6946,1.8333,0.1167
2020-04-10,94,6,0,1184,424,27,33,364,6979,6.3679,0.8182,6.0754,2.3556,0.1500
2020-04-11,58,3,3,954,482,30,36,416,7933,6.2241,0.8333,6.0759,2.6778,0.1667
2020-04-12,139,4,3,1340,621,34,39,548,9273,5.4750,0.8718,6.6969,3.4500,0.1889
2020-04-13,182,5,3,1570,803,39,42,722,10843,4.8568,0.9286,7.4057,4.4611,0.2167
2020-04-14,209,7,0,1905,1012,46,42,924,12748,4.5455,1.0952,7.9385,5.6222,0.2556
2020-04-15,219,4,7,1740,1231,50,49,1132,14488,4.0617,1.0204,8.4967,6.8389,0.2778
2020-04-16,341,10,0,2135,1572,60,49,1463,16623,3.8168,1.2245,9.4568,8.7333,0.3333
2020-04-17,266,15,9,2190,1838,75,58,1705,18813,4.0805,1.2931,9.7698,10.2111,0.4167
2020-04-18,306,9,8,2106,2144,84,66,1994,20919,3.9179,1.2727,10.2491,11.9111,0.4667
2020-04-19,312,7,9,2634,2456,91,75,2290,23553,3.7052,1.2133,10.4275,13.6444,0.5056
2020-04-20,492,10,10,2779,2948,101,85,2762,26332,3.4261,1.1882,11.1955,16.3778,0.5611
2020-04-21,434,9,2,2974,3382,110,87,3185,29306,3.2525,1.2644,11.5403,18.7889,0.6111
2020-04-22,390,10,5,3096,3772,120,92,3560,32402,3.1813,1.3043,11.6413,20.9556,0.6667
2020-04-23,410,7,16,3416,4182,127,108,3947,35818,3.0368,1.1759,11.6757,23.2333,0.7056
2020-04-24,507,4,4,3686,4689,131,112,4446,39504,2.7938,1.1696,11.8697,26.0500,0.7278
2020-04-25,309,9,1,3337,4998,140,113,4745,42841,2.8011,1.2389,11.6664,27.7667,0.7778
2020-04-26,418,5,9,3476,5416,145,122,5149,46317,2.6773,1.1885,11.6933,30.0889,0.8056
2020-04-27,497,7,9,3812,5913,152,131,5630,50129,2.5706,1.1603,11.7956,32.8500,0.8444
2020-04-28,549,3,8,4332,6462,155,139,6168,54461,2.3986,1.1151,11.8654,35.9000,0.8611
2020-04-29,641,8,11,4968,7103,163,150,6790,59429,2.2948,1.0867,11.9521,39.4611,0.9056
2020-04-30,564,5,10,4965,7667,168,160,7339,64394,2.1912,1.0500,11.9064,42.5944,0.9333
2020-05-01,571,2,14,5573,8238,170,174,7894,69967,2.0636,0.9770,11.7741,45.7667,0.9444
2020-05-02,552,5,3,5827,8790,175,177,8438,75794,1.9909,0.9887,11.5972,48.8333,0.9722
2020-05-03,665,2,886,5368,9455,177,1063,8215,81162,1.8720,0.1665,11.6495,52.5278,0.9833
2020-05-04,688,5,146,6207,10143,182,1209,8752,87369,1.7943,0.1505,11.6094,56.3500,1.0111
2020-05-05,786,1,194,5711,10929,183,1403,9343,93080,1.6744,0.1304,11.7415,60.7167,1.0167
2020-05-06,790,3,377,6241,11719,186,1780,9753,99321,1.5872,0.1045,11.7991,65.1056,1.0333
2020-05-07,706,13,130,5867,12425,199,1910,10316,105188,1.6016,0.1042,11.8122,69.0278,1.1056
2020-05-08,709,7,191,5941,13134,206,2101,10827,111129,1.5684,0.0980,11.8187,72.9667,1.1444
2020-05-09,636,8,313,5465,13770,214,2414,11142,116594,1.5541,0.0886,11.8102,76.5000,1.1889
2020-05-10,887,14,236,5738,14657,228,2650,11779,122332,1.5556,0.0860,11.9813,81.4278,1.2667
2020-05-11,1034,11,252,7208,15691,239,2902,12550,129540,1.5232,0.0824,12.1129,87.1722,1.3278
2020-05-12,969,11,245,6773,16660,250,3147,13263,136313,1.5006,0.0794,12.2219,92.5556,1.3889
2020-05-13,1162,19,214,7900,17822,269,3361,14192,144213,1.5094,0.0800,12.3581,99.0111,1.4944
2020-05-14,1041,14,242,7392,18863,283,3603,14977,151605,1.5003,0.0785,12.4422,104.7944,1.5722
2020-05-15,1202,15,279,8582,20065,298,3882,15885,160187,1.4852,0.0768,12.5260,111.4722,1.6556
2020-05-16,930,16,235,6782,20995,314,4117,16564,166969,1.4956,0.0763,12.5742,116.6389,1.7444
2020-05-17,1273,14,256,8114,22268,328,4373,17567,175083,1.4730,0.0750,12.7185,123.7111,1.8222
2020-05-18,1602,21,212,9788,23870,349,4585,18936,184871,1.4621,0.0761,12.9117,132.6111,1.9389
2020-05-19,1251,21,408,8449,25121,370,4993,19758,193320,1.4729,0.0741,12.9945,139.5611,2.0556
2020-05-20,1617,16,214,10207,26738,386,5207,21145,203527,1.4436,0.0741,13.1373,148.5444,2.1444
2020-05-21,1773,22,395,10262,28511,408,5602,22501,213789,1.4310,0.0728,13.3360,158.3944,2.2667
2020-05-22,1694,24,588,9727,30205,432,6190,23583,223516,1.4302,0.0698,13.5136,167.8056,2.4000
2020-05-23,1873,20,296,10834,32078,452,6486,25140,234350,1.4091,0.0697,13.6881,178.2111,2.5111
2020-05-24,1532,28,415,8908,33610,480,6901,26229,243258,1.4281,0.0696,13.8166,186.7222,2.6667
2020-05-25,1975,21,433,9451,35585,501,7334,27750,252709,1.4079,0.0683,14.0814,197.6944,2.7833
2020-05-26,1166,21,245,5407,36751,522,7579,28650,258116,1.4204,0.0689,14.2382,204.1722,2.9000
2020-05-27,1541,22,346,8015,38292,544,7925,29823,266131,1.4207,0.0686,14.3884,212.7333,3.0222
2020-05-28,2029,15,500,9310,40321,559,8425,31337,275441,1.3864,0.0664,14.6387,224.0056,3.1056
2020-05-29,2523,23,590,11301,42844,582,9015,33247,286742,1.3584,0.0646,14.9417,238.0222,3.2333
2020-05-30,1764,28,360,9987,44608,610,9375,34623,296729,1.3675,0.0651,15.0332,247.8222,3.3889
2020-05-31,2545,40,406,11876,47153,650,9781,36722,308605,1.3785,0.0665,15.2794,261.9611,3.6111
2020-06-01,2381,22,816,11439,49534,672,10597,38265,320044,1.3566,0.0634,15.4772,275.1889,3.7333
2020-06-02,2911,37,523,12704,52445,709,11120,40616,332748,1.3519,0.0638,15.7612,291.3611,3.9389
2020-06-03,2695,37,470,12510,55140,746,11590,42804,345258,1.3529,0.0644,15.9707,306.3333,4.1444
2020-06-04,2423,35,571,12694,57563,781,12161,44621,357952,1.3568,0.0642,16.0812,319.7944,4.3389
2020-06-05,2828,30,643,14088,60391,811,12804,46776,372040,1.3429,0.0633,16.2324,335.5056,4.5056
2020-06-06,2635,35,521,12486,63026,846,13325,48855,384526,1.3423,0.0635,16.3906,350.1444,4.7000
2020-06-07,2743,42,578,13136,65769,888,13903,50978,397662,1.3502,0.0639,16.5389,365.3833,4.9333
2020-06-08,2735,42,657,12944,68504,930,14560,53014,410606,1.3576,0.0639,16.6836,380.5778,5.1667
2020-06-09,3171,45,777,14664,71675,975,15337,55363,425270,1.3603,0.0636,16.8540,398.1944,5.4167
2020-06-10,3190,37,563,15965,74865,1012,15900,57953,441235,1.3518,0.0636,16.9671,415.9167,5.6222
2020-06-11,3187,37,848,15772,78052,1049,16748,60255,457007,1.3440,0.0626,17.0790,433.6222,5.8278
2020-06-12,3471,46,502,15990,81523,1095,17250,63178,472997,1.3432,0.0635,17.2354,452.9056,6.0833
2020-06-13,2856,44,578,16638,84379,1139,17828,65412,489635,1.3499,0.0639,17.2330,468.7722,6.3278
2020-06-14,3141,32,902,14505,87520,1171,18730,67619,504140,1.3380,0.0625,17.3603,486.2222,6.5056
2020-06-15,3099,38,15297,15038,90619,1209,34027,55383,519178,1.3342,0.0355,17.4543,503.4389,6.7167
2020-06-16,3862,53,2237,17214,94481,1262,36264,56955,536392,1.3357,0.0348,17.6142,524.8944,7.0111
2020-06-17,4008,43,1925,17527,98489,1305,38189,58995,553919,1.3250,0.0342,17.7804,547.1611,7.2500
2020-06-18,3803,38,1975,16259,102292,1343,40164,60785,570178,1.3129,0.0334,17.9404,568.2889,7.4611
2020-06-19,3243,45,2781,15045,105535,1388,42945,61202,585223,1.3152,0.0323,18.0333,586.3056,7.7111
2020-06-20,3240,37,1048,14031,108775,1425,43993,63357,599254,1.3100,0.0324,18.1517,604.3056,7.9167
2020-06-21,3531,39,1084,15585,112306,1464,45077,65765,614839,1.3036,0.0325,18.2659,623.9222,8.1333
2020-06-22,3480,38,1678,15555,115786,1502,46755,67529,630394,1.2972,0.0321,18.3672,643.2556,8.3444
2020-06-23,3412,43,880,16292,119198,1545,47635,70018,646686,1.2962,0.0324,18.4321,662.2111,8.5833
2020-06-24,3462,37,2031,16433,122660,1582,49666,71412,663119,1.2897,0.0319,18.4974,681.4444,8.7889
2020-06-25,3946,39,1829,17999,126606,1621,51495,73490,681118,1.2804,0.0315,18.5880,703.3667,9.0056
2020-06-26,3868,40,1638,18498,130474,1661,53133,75680,699616,1.2731,0.0313,18.6494,724.8556,9.2278
2020-06-27,3504,34,1185,15157,133978,1695,54318,77965,714773,1.2651,0.0312,18.7441,744.3222,9.4167
2020-06-28,3809,43,1409,18099,137787,1738,55727,80322,732872,1.2614,0.0312,18.8010,765.4833,9.6556
2020-06-29,4014,45,2053,17837,141801,1783,57780,82238,750709,1.2574,0.0309,18.8889,787.7833,9.9056
2020-06-30,3682,64,1844,18426,145483,1847,59624,84012,769135,1.2696,0.0310,18.9151,808.2389,10.2611
2020-07-01,3775,41,2484,17875,149258,1888,62108,85262,787010,1.2649,0.0304,18.9652,829.2111,10.4889
2020-07-02,4019,38,4334,18362,153277,1926,66442,84909,805372,1.2565,0.0290,19.0318,851.5389,10.7000
2020-07-03,3114,42,1606,14650,156391,1968,68048,86375,820022,1.2584,0.0289,19.0716,868.8389,10.9333
2020-07-04,3288,29,2673,14727,159679,1997,70721,86961,834749,1.2506,0.0282,19.1290,887.1056,11.0944
2020-07-05,2738,55,1904,13988,162417,2052,72625,87740,848737,1.2634,0.0283,19.1363,902.3167,11.4000
2020-07-06,3201,44,3524,14245,165618,2096,76149,87373,862982,1.2656,0.0275,19.1914,920.1000,11.6444
2020-07-07,3027,55,1953,13173,168645,2151,78102,88392,876155,1.2755,0.0275,19.2483,936.9167,11.9500
2020-07-08,3489,46,2736,15672,172134,2197,80838,89099,891827,1.2763,0.0272,19.3013,956.3000,12.2056
2020-07-09,3360,41,3706,15632,175494,2238,84544,88712,907459,1.2753,0.0265,19.3391,974.9667,12.4333
2020-07-10,2949,37,1862,13488,178443,2275,86406,89762,920947,1.2749,0.0263,19.3760,991.3500,12.6389
2020-07-11,2686,30,1628,11193,181129,2305,88034,90790,932140,1.2726,0.0262,19.4315,1006.2722,12.8056
2020-07-12,2666,47,5580,11059,183795,2352,93614,87829,943199,1.2797,0.0251,19.4863,1021.0833,13.0667
2020-07-13,3099,39,4703,12423,186894,2391,98317,86186,955622,1.2793,0.0243,19.5573,1038.3000,13.2833
2020-07-14,3163,33,4910,13453,190057,2424,103227,84406,969075,1.2754,0.0235,19.6122,1055.8722,13.4667
2020-07-15,3533,33,1796,14002,193590,2457,105023,86110,983077,1.2692,0.0234,19.6923,1075.5000,13.6500
2020-07-16,2733,39,1940,12889,196323,2496,106963,86864,995966,1.2714,0.0233,19.7118,1090.6833,13.8667
2020-07-17,3034,51,1762,13460,199357,2547,108725,88085,1009426,1.2776,0.0234,19.7495,1107.5389,14.1500
2020-07-18,2709,34,1373,10923,202066,2581,110098,89387,1020349,1.2773,0.0234,19.8036,1122.5889,14.3389
2020-07-19,2459,37,1546,10625,204525,2618,111644,90263,1030974,1.2800,0.0234,19.8380,1136.2500,14.5444
2020-07-20,2928,50,1914,13362,207453,2668,113558,91227,1044336,1.2861,0.0235,19.8646,1152.5167,14.8222
2020-07-21,3057,41,1839,12898,210510,2709,115397,92404,1057234,1.2869,0.0235,19.9114,1169.5000,15.0500
2020-07-22,2744,42,1805,12050,213254,2751,117202,93301,1069284,1.2900,0.0235,19.9436,1184.7444,15.2833
2020-07-23,2856,50,2008,12398,216110,2801,119210,94099,1081682,1.2961,0.0235,19.9791,1200.6111,15.5611
2020-07-24,2548,35,1766,12027,218658,2836,120976,94846,1093709,1.2970,0.0234,19.9923,1214.7667,15.7556
2020-07-25,2520,38,1114,10446,221178,2874,122090,96214,1104155,1.2994,0.0235,20.0314,1228.7667,15.9667
2020-07-26,2275,54,1792,10078,223453,2928,123882,96643,1114233,1.3103,0.0236,20.0544,1241.4056,16.2667
2020-07-27,2772,37,1801,12859,226225,2965,125683,97577,1127092,1.3106,0.0236,20.0716,1256.8056,16.4722
2020-07-28,2960,35,1731,12714,229185,3000,127414,98771,1139806,1.3090,0.0235,20.1074,1273.2500,16.6667
2020-07-29,3009,35,2878,14127,232194,3035,130292,98867,1153933,1.3071,0.0233,20.1220,1289.9667,16.8611
2020-07-30,2695,48,2668,12937,234889,3083,132960,98846,1166870,1.3125,0.0232,20.1298,1304.9389,17.1278
2020-07-31,2772,28,2176,12614,237661,3111,135136,99414,1179484,1.3090,0.0230,20.1496,1320.3389,17.2833
2020-08-01,2199,21,1117,8802,239860,3132,136253,100475,1188286,1.3058,0.0230,20.1854,1332.5556,17.4000
2020-08-02,886,22,586,3684,240746,3154,136839,100753,1191970,1.3101,0.0230,20.1973,1337.4778,17.5222
2020-08-03,1356,30,1066,4249,242102,3184,137905,101013,1196219,1.3151,0.0231,20.2389,1345.0111,17.6889
2020-08-04,1918,50,1955,7712,244020,3234,139860,100926,1203931,1.3253,0.0231,20.2686,1355.6667,17.9667
2020-08-05,2654,33,1890,11160,246674,3267,141750,101657,1215091,1.3244,0.0230,20.3009,1370.4111,18.1500
2020-08-06,2977,39,2074,12708,249651,3306,143824,102521,1227799,1.3242,0.0230,20.3332,1386.9500,18.3667
2020-08-07,2851,27,1760,12699,252502,3333,145584,103585,1240498,1.3200,0.0229,20.3549,1402.7889,18.5167
2020-08-08,2611,32,1020,11737,255113,3365,146604,105144,1252235,1.3190,0.0230,20.3726,1417.2944,18.6944
2020-08-09,2487,34,1766,10759,257600,3399,148370,105831,1262994,1.3195,0.0229,20.3960,1431.1111,18.8833
2020-08-10,2907,39,2067,12849,260507,3438,150437,106632,1275843,1.3197,0.0229,20.4184,1447.2611,19.1000
2020-08-11,2996,33,1535,14820,263503,3471,151972,108060,1290663,1.3173,0.0228,20.4161,1463.9056,19.2833
2020-08-12,2995,42,1117,14751,266498,3513,153089,109896,1305414,1.3182,0.0229,20.4148,1480.5444,19.5167
2020-08-13,2617,44,1782,13162,269115,3557,154871,110687,1318576,1.3217,0.0230,20.4095,1495.0833,19.7611
2020-08-14,2766,34,1752,12856,271881,3591,156623,111667,1331432,1.3208,0.0229,20.4202,1510.4500,19.9500
2020-08-15,2644,34,1012,12891,274525,3625,157635,113265,1344323,1.3205,0.0230,20.4211,1525.1389,20.1389
2020-08-16,2024,32,1315,10018,276549,3657,158950,113942,1354341,1.3224,0.0230,20.4195,1536.3833,20.3167
2020-08-17,2595,37,1641,12523,279144,3694,160591,114859,1366864,1.3233,0.0230,20.4222,1550.8000,20.5222
2020-08-18,3200,46,2234,14630,282344,3740,162825,115779,1381494,1.3246,0.0230,20.4376,1568.5778,20.7778
2020-08-19,2747,41,2913,14678,285091,3781,165738,115572,1396172,1.3262,0.0228,20.4195,1583.8389,21.0056
2020-08-20,2868,41,3253,14059,287959,3822,168991,115146,1410231,1.3273,0.0226,20.4193,1599.7722,21.2333
2020-08-21,2401,39,3624,12943,290360,3861,172615,113884,1423174,1.3297,0.0224,20.4023,1613.1111,21.4500
2020-08-22,2265,46,2952,11356,292625,3907,175567,113151,1434530,1.3352,0.0223,20.3987,1625.6944,21.7056
2020-08-23,1933,34,3524,10801,294558,3941,179091,111526,1445331,1.3379,0.0220,20.3800,1636.4333,21.8944
2020-08-24,2525,42,3784,13382,297083,3983,182875,110225,1458713,1.3407,0.0218,20.3661,1650.4611,22.1278
2020-08-25,2545,45,3881,14153,299628,4028,186756,108844,1472866,1.3443,0.0216,20.3432,1664.6000,22.3778
2020-08-26,2519,54,3427,15070,302147,4082,190183,107882,1487936,1.3510,0.0215,20.3065,1678.5944,22.6778
2020-08-27,2436,45,3275,15124,304583,4127,193458,106998,1503060,1.3550,0.0213,20.2642,1692.1278,22.9278
2020-08-28,2211,47,3378,13741,306794,4174,196836,105784,1516801,1.3605,0.0212,20.2264,1704.4111,23.1889
2020-08-29,2131,32,2027,11689,308925,4206,198863,105856,1528490,1.3615,0.0212,20.2111,1716.2500,23.3667
2020-08-30,1897,42,3044,11934,310822,4248,201907,104667,1540424,1.3667,0.0210,20.1777,1726.7889,23.6000
2020-08-31,2174,33,2980,12454,312996,4281,204887,103828,1552878,1.3677,0.0209,20.1559,1738.8667,23.7833
2020-09-01,1950,35,3290,12209,314946,4316,208177,102453,1565087,1.3704,0.0207,20.1232,1749.7000,23.9778
2020-09-02,2582,35,2839,15204,317528,4351,211016,102161,1580291,1.3703,0.0206,20.0930,1764.0444,24.1722
2020-09-03,2158,32,2964,14422,319686,4383,213980,101323,1594713,1.3710,0.0205,20.0466,1776.0333,24.3500
2020-09-04,1929,29,2211,13073,321615,4412,216191,101012,1607786,1.3718,0.0204,20.0036,1786.7500,24.5111
2020-09-05,1950,35,1661,12847,323565,4447,217852,101266,1620633,1.3744,0.0204,19.9653,1797.5833,24.7056
2020-09-06,1592,32,3423,11354,325157,4479,221275,99403,1631987,1.3775,0.0202,19.9240,1806.4278,24.8833
2020-09-07,2202,37,3298,15412,327359,4516,224573,98270,1647399,1.3795,0.0201,19.8713,1818.6611,25.0889
2020-09-08,1892,36,3236,14973,329251,4552,227809,96890,1662372,1.3825,0.0200,19.8061,1829.1722,25.2889
2020-09-09,1827,41,2995,14755,331078,4593,230804,95681,1677127,1.3873,0.0199,19.7408,1839.3222,25.5167
2020-09-10,1892,41,2746,15559,332970,4634,233550,94786,1692686,1.3917,0.0198,19.6711,1849.8333,25.7444
2020-09-11,1792,34,2474,14747,334762,4668,236024,94070,1707433,1.3944,0.0198,19.6062,1859.7889,25.9333
2020-09-12,1282,34,2247,10098,336044,4702,238271,93071,1717531,1.3992,0.0197,19.5655,1866.9111,26.1222
2020-09-13,1476,31,2372,12999,337520,4733,240643,92144,1730530,1.4023,0.0197,19.5039,1875.1111,26.2944
2020-09-14,1812,26,2512,14216,339332,4759,243155,91418,1744746,1.4025,0.0196,19.4488,1885.1778,26.4389
2020-09-15,1724,43,2439,14050,341056,4802,245594,90660,1758796,1.4080,0.0196,19.3914,1894.7556,26.6778
2020-09-16,1615,21,2375,13360,342671,4823,247969,89879,1772156,1.4075,0.0195,19.3364,1903.7278,26.7944
2020-09-17,1593,36,2443,13673,344264,4859,250412,88993,1785829,1.4114,0.0194,19.2775,1912.5778,26.9944
2020-09-18,1541,22,1923,12730,345805,4881,252335,88589,1798559,1.4115,0.0193,19.2268,1921.1389,27.1167
2020-09-19,1567,32,2051,13170,347372,4913,254386,88073,1811729,1.4143,0.0193,19.1735,1929.8444,27.2944
2020-09-20,1544,26,2179,11591,348916,4939,256565,87412,1823320,1.4155,0.0193,19.1363,1938.4222,27.4389
2020-09-21,1705,40,2152,13053,350621,4979,258717,86925,1836373,1.4201,0.0192,19.0931,1947.8944,27.6611
2020-09-22,1557,28,2073,14164,352178,5007,260790,86381,1850537,1.4217,0.0192,19.0311,1956.5444,27.8167
2020-09-23,1666,37,2163,14150,353844,5044,262953,85847,1864687,1.4255,0.0192,18.9761,1965.8000,28.0222
2020-09-24,1540,28,2139,12900,355384,5072,265092,85220,1877587,1.4272,0.0191,18.9277,1974.3556,28.1778
2020-09-25,1383,21,1932,12473,356767,5093,267024,84650,1890060,1.4275,0.0191,18.8760,1982.0389,28.2944
2020-09-26,1106,36,1753,10765,357873,5129,268777,83967,1900825,1.4332,0.0191,18.8272,1988.1833,28.4944
2020-09-27,1275,32,1714,10685,359148,5161,270491,83496,1911510,1.4370,0.0191,18.7887,1995.2667,28.6722
2020-09-28,1407,32,1582,11922,360555,5193,272073,83289,1923432,1.4403,0.0191,18.7454,2003.0833,28.8500
2020-09-29,1488,26,1625,12869,362043,5219,273698,83126,1936301,1.4415,0.0191,18.6977,2011.3500,28.9944
2020-09-30,1436,32,1789,13404,363479,5251,275487,82741,1949705,1.4447,0.0191,18.6428,2019.3278,29.1722
2020-10-01,1508,21,1591,11420,364987,5272,277078,82637,1961125,1.4444,0.0190,18.6111,2027.7056,29.2889
